rang;disziplin;punkte;anzahl_turniere;vorname;name;nation;bec_player_id
1;BD;3000;5;Frederik;BLITTRUP;DEN;38794
2;BD;3000;5;Peter Simoni;FAURHOLT;DEN;5927
3;BD;3000;4;Daniel;LEONOVIC;LTU;1251
4;BD;3000;10;Stiliyan;NANOVSKI;BUL;1905
5;BD;3000;11;Georgi;RUPTSOV;BUL;1871
6;BD;3000;4;Dominik;TANKEVIC;LTU;1184
7;BD;2800;6;Marten;PÕDER;EST;5453
8;BD;2800;6;Kaspar;SORGE;EST;1195
9;BD;2800;7;Zeno;AGAI;HUN;1977
10;BD;2800;7;Balazs;PETO;HUN;1893
11;BD;2800;3;Tobias;NIEMI STRÖM;SWE;2207
12;BD;2640;11;Tomáš;KLAPAL;CZE;1264
13;BD;2640;3;Rhys;WILLIAMS;ENG;30520
14;BD;2640;12;FrantišEk;VRCHOTICKÝ;CZE;1176
15;BD;2600;10;Phil;DANIEL;ENG;30249
16;BD;2600;9;Louka;CESARI;SUI;2154
17;BD;2600;3;Josef;ZHILIN FANG;SWE;5877
18;BD;2600;11;Nikhil Deepak;PULIKKOTTIL;ENG;2692
19;BD;2600;5;Kaloyan;VELIKOV;BUL;1845
20;BD;2600;5;Teodor;MITEV;BUL;1237
21;BD;2440;7;Raul;HERNANDEZ;ESP;916
22;BD;2440;6;Quentin;BROGERE;FRA;2160
23;BD;2440;13;Marko;ŠURINA;CRO;1857
24;BD;2440;11;Tin;RADOVANOVIĆ;CRO;5575
25;BD;2410;3;George;CLARE;ENG;2153
26;BD;2410;3;Sajan;SENTHURAN;ENG;2081
27;BD;2400;6;Paul;PILLARD;FRA;5776
28;BD;2400;3;Yixiang;HOU;ENG;2127
29;BD;2400;3;Jasper;WONG;ENG;2067
30;BD;2312;7;Santiago;ARAUJO;SUI;2168
31;BD;2312;7;Theo;EPP;FRA;2141
32;BD;2312;9;Lovis;DETERS;GER;2249
33;BD;2280;5;Nagasharan Podala;VENGATESH;NED;5883
34;BD;2280;6;Nathanael;BARRIER;FRA;2164
35;BD;2280;10;Kilian;SCHERER;GER;5772
36;BD;2280;6;Victor;LE ROUX;FRA;2115
37;BD;2240;10;Daniel;ČADA;CZE;1962
38;BD;2240;10;Matyáš;PUFFR;CZE;1881
39;BD;2240;5;Tristan;PETRIAT;FRA;5649
40;BD;2210;3;Jean;MIMALE PORTAIL;FRA;2104
41;BD;2210;3;Nohan;RAMDENEE;FRA;2088
42;BD;2152;3;Jason;DE GRAAF;NED;5934
43;BD;2152;9;Magno;SALAS;ESP;1870
44;BD;2152;6;Ioannis;SAROUGIANNIDIS;GRE;5497
45;BD;2152;9;Rik;DE BACKER;BEL;5935
46;BD;2152;6;Guillermo;MUÑOZ;ESP;1907
47;BD;2152;6;Seppe;DAEMERS;BEL;2148
48;BD;2152;5;Yutong;HE;GER;38106
49;BD;2112;8;Tim;BREGAR;SLO;1966
50;BD;2112;10;Nathan;NGUYEN;SUI;2102
51;BD;2080;7;Aditya;GAHIRWAL;GER;2241
52;BD;2080;12;Din;MAŠIĆ;SLO;1911
53;BD;2080;12;Maks;TRAMPUŽ;SLO;1848
54;BD;2080;13;Valentin;LANG;GER;38110
55;BD;2080;8;Lorys;CHIPIER;SUI;2256
56;BD;2080;7;Luan;WOLBER;GER;2172
57;BD;2050;3;Tejas;SINGH;ENG;5770
58;BD;2024;3;Malte;JØRGENSEN;DEN;43407
59;BD;2000;2;Julius Viet Nguyen;JENSEN;DEN;5738
60;BD;2000;2;August;REILER;DEN;5719
61;BD;1968;4;Jorge;ROYO;ESP;2194
62;BD;1952;5;Mateusz;MICHALIK;POL;661
63;BD;1952;3;Esalettin Berk;DEMIR;TUR;5870
64;BD;1952;5;Felix;SANZ;ESP;863
65;BD;1952;5;Szymon;GWIAZDA;POL;767
66;BD;1922;6;Kan;EMURLAH;BUL;38460
67;BD;1922;6;Olle;JAKOBSSON;SWE;2228
68;BD;1922;7;Andrey;MARCOV;BUL;5909
69;BD;1922;7;Leo;SPASOV;BUL;7091
70;BD;1840;5;Andrei Victor;VIZI;ROU;1843
71;BD;1840;3;Maxim;IACOB;ROU;1934
72;BD;1840;3;Furkan;KUCUK;TUR;38455
73;BD;1840;3;Ahmet Rafi;SARAC;TUR;38456
74;BD;1824;3;Felus;DING;SWE;5678
75;BD;1824;7;Roman;KARATANOV;UKR;1269
76;BD;1824;7;Ihor;BELINSKYI;UKR;1309
77;BD;1824;5;Tymofii;KADIEMIN;UKR;1270
78;BD;1824;8;Sathvik;SHANKAR;GER;7720
79;BD;1824;9;Hannes;MERGET;GER;30319
80;BD;1824;7;Ivan;DZHUS;UKR;1293
81;BD;1824;7;Jan;VRANCE;SLO;1840
82;BD;1820;4;Victor;GUNNLERT;SWE;2237
83;BD;1820;4;Buster;UHRE;DEN;5707
84;BD;1820;6;Soheyl;SAFARI ARAGHI;GER;38793
85;BD;1792;5;Mevlut Berat;BAS;TUR;7075
86;BD;1792;4;Hon Chak Johnson;ZHANG;FRA;2066
87;BD;1792;4;Erdal Mert;DEMIRHAN;TUR;5868
88;BD;1792;5;Eymen;OZTURK;TUR;7035
89;BD;1792;4;Deniz Baran;KARAMAN;TUR;5861
90;BD;1792;10;Aaron;WINTER;GER;2173
91;BD;1792;10;Ian;BAUMANN;GER;2268
92;BD;1792;6;Jan;PAULÍK;CZE;1896
93;BD;1792;8;Martin;VALÁŠEK;CZE;1181
94;BD;1792;3;Lucas Winther;NIELSEN;DEN;38780
95;BD;1792;5;Mikkel;JOHANNSEN;DEN;38790
96;BD;1792;3;Cedric;PASCHER;GER;2202
97;BD;1792;12;Farin;RICHARD;SUI;2084
98;BD;1768;3;Oskar;TRANGBÆK;DEN;30552
99;BD;1738;3;Kristian;BÜLOW;DEN;5699
100;BD;1722;4;Pavel;SHEYTANOV;BUL;38463
101;BD;1722;4;Charlie;JUNNOR;SCO;1929
102;BD;1722;4;Andre;LOOSKARI;EST;1249
103;BD;1722;4;Anton;BILCHEV;BUL;38458
104;BD;1722;7;Frederik;VOLKERT;GER;30350
105;BD;1722;6;Feliks;GETKA;POL;1285
106;BD;1722;5;Artur;FERNANDES;POR;1947
107;BD;1690;3;Karl Mattias;PEDAI;EST;1222
