rang;disziplin;punkte;anzahl_turniere;vorname;name;nation;bec_player_id
1;BS;3000;7;Santiago;ARAUJO;SUI;2168
2;BS;3000;4;Andre;LOOSKARI;EST;1249
3;BS;3000;8;Axel;BOESEN;DEN;2162
4;BS;2640;9;Lovis;DETERS;GER;2249
5;BS;2640;7;Seppe;DAEMERS;BEL;2148
6;BS;2640;8;Teodor;MITEV;BUL;1237
7;BS;2640;7;Maxim;IACOB;ROU;1934
8;BS;2640;4;Daniel;LEONOVIC;LTU;1251
9;BS;2600;11;Georgi;RUPTSOV;BUL;1871
10;BS;2600;8;Berkay;CEYHAN;TUR;5872
11;BS;2600;3;Marvin Jakob Galan;MOGENSEN;DEN;5729
12;BS;2440;9;Zeno;AGAI;HUN;1977
13;BS;2312;9;Tim;BREGAR;SLO;1966
14;BS;2312;3;Milan;ZEISIG;GER;1167
15;BS;2312;12;Nikhil Deepak;PULIKKOTTIL;ENG;2692
16;BS;2312;6;Hugo;SANZ;ESP;1204
17;BS;2280;11;Petr;BŘÍZA;CZE;1305
18;BS;2240;4;Sajan;SENTHURAN;ENG;2081
19;BS;2240;5;Ludvig;MARMSTEN;SWE;2216
20;BS;2240;7;Balazs;PETO;HUN;1893
21;BS;2210;3;Rhys;WILLIAMS;ENG;30520
22;BS;2152;11;Kilian;SCHERER;GER;5772
23;BS;2152;4;Felus;DING;SWE;5678
24;BS;2152;4;Tobias;NIEMI STRÖM;SWE;2207
25;BS;2128;3;Lubin;LE FLOC'H;FRA;2020
26;BS;2080;7;Ioannis;SAROUGIANNIDIS;GRE;5497
27;BS;2080;7;Guillermo;MUÑOZ;ESP;1907
28;BS;2024;10;Martin;ZHANG;AUT;1835
29;BS;2024;6;Jannes;ERNST;GER;1290
30;BS;1952;12;Nathan;NGUYEN;SUI;2102
31;BS;1952;4;Vihaan;SHAH;NED;1623
32;BS;1952;12;FrantišEk;VRCHOTICKÝ;CZE;1176
33;BS;1952;8;Frederik;VOLKERT;GER;30350
34;BS;1922;9;Moritz;VOGEL;AUT;1841
35;BS;1824;6;Victor;LE ROUX;FRA;2115
36;BS;1792;7;Nagasharan Podala;VENGATESH;NED;5883
37;BS;1792;3;Soren;MARION GOTHSENER;FRA;2108
38;BS;1792;6;Keenan;BRIERE;FRA;2263
39;BS;1792;7;Loic;GOSSET;BEL;1282
40;BS;1792;9;Sathvik;SHANKAR;GER;7720
41;BS;1722;5;Leon;PHAN;FRA;2096
42;BS;1722;5;Zisis;PEGIOS;GRE;5500
43;BS;1690;4;Yutong;HE;GER;38106
44;BS;1690;3;Malte;JØRGENSEN;DEN;43407
45;BS;1672;4;Aodren;HOUTIN;FRA;2126
46;BS;1664;5;Casper;BOHLIN;SWE;39797
47;BS;1664;10;Alex;PATAKI;HUN;1897
48;BS;1664;7;Aleksa;RADOVANOVIC;SRB;1878
49;BS;1664;5;Szymon;GWIAZDA;POL;767
50;BS;1664;14;Marko;ŠURINA;CRO;1857
51;BS;1640;3;Ismael;BOUCHIKHI;FRA;42379
52;BS;1640;8;Andrey;MARCOV;BUL;5909
53;BS;1640;2;Christopher;KUNCKEL;DEN;2021
54;BS;1620;6;Ian;BAUMANN;GER;2268
55;BS;1620;7;Raul;HERNANDEZ;ESP;916
56;BS;1620;4;Boris;VERMAAS;NED;1986
57;BS;1620;5;Rafael;GUILLOCHIN;FRA;2131
58;BS;1620;4;Jason;DE GRAAF;NED;5934
59;BS;1620;7;Rokas;KRUMINAS;LTU;1257
60;BS;1608;4;Axel;VALERO-PACCHIONI;FRA;2074
61;BS;1562;9;Kaloyan;VELIKOV;BUL;1845
62;BS;1562;6;Ethan;FEAKIN;ENG;7229
63;BS;1562;5;Dominik;TANKEVIC;LTU;1184
64;BS;1562;15;Valentin;LANG;GER;38110
65;BS;1562;5;William Kragelund;BØGEBJERG;DEN;38702
66;BS;1562;3;Erdal Mert;DEMIRHAN;TUR;5868
67;BS;1562;4;Peter Simoni;FAURHOLT;DEN;5927
68;BS;1562;7;Kaspar;SORGE;EST;1195
69;BS;1562;3;Karl Mattias;PEDAI;EST;1222
70;BS;1538;4;Furkan;KUCUK;TUR;38455
71;BS;1536;5;Jakub;DULEMBA;POL;781
72;BS;1536;8;Youri;SCHWARZ;GER;2186
73;BS;1512;2;Isak;MELLERI;FIN;5461
74;BS;1480;4;Konstantinos;KAPOUKRANIDIS;GRE;5917
75;BS;1460;5;Aarav;BHATIA;GER;2163
76;BS;1460;6;Karel;VAHALÍK;CZE;2686
77;BS;1460;3;Yixiang;HOU;ENG;2127
78;BS;1460;13;Din;MAŠIĆ;SLO;1911
79;BS;1460;3;Alfie;MARTIN;SCO;1912
80;BS;1460;4;Cedric;PASCHER;GER;2202
81;BS;1456;4;Daniel;TANKEVIC;LTU;1185
82;BS;1434;6;Petar;MITEV;BUL;7148
83;BS;1434;5;Esteyban;SAINTHUILE;FRA;39565
84;BS;1434;4;Yahav;SADE;ISR;1206
85;BS;1434;5;Martim;MARQUES;POR;1913
86;BS;1434;8;Kacper;GRABARZ;POL;1281
87;BS;1434;6;Cesar;RODRIGUES;POR;1874
88;BS;1410;2;Savvas;SAVVIDES;CYP;5496
89;BS;1378;5;Idan;ASHKENAZI;ISR;5944
90;BS;1378;4;Marten;PÕDER;EST;5453
91;BS;1352;12;Maks;TRAMPUŽ;SLO;1848
92;BS;1352;4;Come;PERVEZ;FRA;2097
93;BS;1352;3;Nil;LEIVA;ESP;2223
94;BS;1352;3;Jakub;MAZUREK;POL;1242
95;BS;1332;5;Jan;PAULÍK;CZE;1896
96;BS;1332;7;Danilo;STEVANOVIC;SRB;1860
97;BS;1332;13;Filip;LISKA;LUX;1917
98;BS;1332;6;Feliks;GETKA;POL;1285
99;BS;1332;5;Edgar;PREVOT;FRA;39608
100;BS;1332;8;Lorys;CHIPIER;SUI;2256
101;BS;1332;8;Quentin;BOSCHUNG;SUI;2161
102;BS;1332;9;Samuel;FODOR;SVK;1946
103;BS;1328;2;Dotan;SARAGA;ISR;5891
104;BS;1296;10;Stiliyan;NANOVSKI;BUL;1905
105;BS;1296;7;Hugo;GALLEGO;ESP;39609
106;BS;1296;6;Hareesh;BOOPATHY;GER;38796
107;BS;1296;3;Anton Hegelund;HVIDEGAARD;DEN;39765
108;BS;1296;3;Tejas;SINGH;ENG;5770
109;BS;1250;3;Oskar;TRANGBÆK;DEN;30552
110;BS;1250;9;Gleb;STEPANZOW;GER;38112
111;BS;1250;5;Tymofii;KADIEMIN;UKR;1270
112;BS;1250;3;Gaspar;SALAGNAT;GUF;39853
113;BS;1250;10;Tomáš;KLAPAL;CZE;1264
114;BS;1250;4;Jordy;HAASE;NED;1752
115;BS;1250;5;Naim;EL KHADERY-PERRON;FRA;39606
116;BS;1250;5;Paul;PILLARD;FRA;5776
117;BS;1250;7;Theo;EPP;FRA;2141
118;BS;1250;5;Mikkel;JOHANNSEN;DEN;38790
119;BS;1250;4;Anton;BILCHEV;BUL;38458
120;BS;1250;13;Konrad;BECHTER;AUT;2704
121;BS;1250;3;Furkan;BULTAN;TUR;7070
122;BS;1250;9;Magno;SALAS;ESP;1870
123;BS;1250;4;Pawel;PAULEWICZ;POL;1225
124;BS;1250;3;Mads-Emil Aarslev;RASMUSSEN;DEN;5404
125;BS;1250;9;Martin;VALÁŠEK;CZE;1181
126;BS;1250;5;Pavel;SHEYTANOV;BUL;38463
127;BS;1250;6;Julien;VERHEYEN;BEL;1177
128;BS;1250;4;Nicholas;MIKKELSEN;DEN;5906
129;BS;1230;13;Joris;JANN;SUI;2123
130;BS;1230;6;Tamas;TOTH;HUN;1849
131;BS;1230;12;Abhiram;GOKHALE;SUI;2135
132;BS;1230;11;Lovro;MATOVINA;CRO;1910
133;BS;1230;4;Deniz Baran;KARAMAN;TUR;5861
134;BS;1230;5;Marco;GARCIA;ESP;40417
135;BS;1230;6;Quentin;BROGERE;FRA;2160
136;BS;1230;5;Mateusz;MICHALIK;POL;661
137;BS;1210;2;Luke;PARKINSON;ENG;2203
138;BS;1184;4;Arjun;BHATTIPROLU;ENG;30471
139;BS;1184;4;Michal;VYBÍRAL;CZE;30142
140;BS;1184;3;Ahmet;CELEBI;TUR;5940
141;BS;1184;3;Ignas;MARTYSIUS;LTU;38710
142;BS;1184;3;Hon Chak Johnson;ZHANG;FRA;2066
143;BS;1184;4;Jorge;ROYO;ESP;2194
144;BS;1168;6;Eric;DOMINGUEZ;ESP;2248
145;BS;1168;4;Tristan;PETRIAT;FRA;5649
146;BS;1168;13;Jakub;FOTTA;SVK;1943
147;BS;1168;7;Leo;SPASOV;BUL;7091
148;BS;1168;6;Vadym;SAPOZHNYKOV;UKR;1203
149;BS;1168;5;Tomas;RODRIGUES;POR;1873
150;BS;1168;7;Olle;JAKOBSSON;SWE;2228
151;BS;1168;4;Alessio;CATALFAMO;ITA;2257
152;BS;1168;7;Roman;KARATANOV;UKR;1269
153;BS;1168;12;Nilas;SUTTER;SUI;1855
154;BS;1168;5;Miao;RUIFENG;ESP;2190
155;BS;1164;4;Ian;ANTON;ESP;2271
156;BS;1152;2;Feliu;TEROL;ESP;2180
157;BS;1148;4;Samarth;PARASHAR;ENG;39952
158;BS;1148;4;Ostap;DEMCHENKO;UKR;39937
159;BS;1148;3;Erwin;DINH;AUT;39806
160;BS;1148;4;Lubin;RACINNE;FRA;39604
161;BS;1148;5;Gabriel;TRKAN;CZE;1847
162;BS;1148;8;Tomas;SOKOL;SVK;1863
163;BS;1148;4;Ioan;YORDANOV;BUL;38464
164;BS;1148;6;Ivan;DZHUS;UKR;1293
165;BS;1148;3;Phil;DANIEL;ENG;30249
166;BS;1148;12;Farin;RICHARD;SUI;2084
167;BS;1148;7;Jan;VRANCE;SLO;1840
168;BS;1148;10;Matyáš;PUFFR;CZE;1881
169;BS;1148;4;Seppe;CABUS;BEL;2157
170;BS;1148;4;Nathanael;BARRIER;FRA;2164
171;BS;1148;8;Moritz;BÜRGER;AUT;5589
172;BS;1148;7;Artur;PLAISANT;GER;2198
173;BS;1148;3;Yoav;BAREL;ISR;5531
174;BS;1148;4;Victor;GUNNLERT;SWE;2237
175;BS;1102;6;Alexander;FRANZKE;GER;38109
176;BS;1102;3;Esalettin Berk;DEMIR;TUR;5870
177;BS;1102;4;Kristian;BÜLOW;DEN;5699
178;BS;1102;4;Evan;PINCEBOURDE;FRA;41858
179;BS;1102;3;Timo;REICHEL;GER;42346
180;BS;1102;6;Vukasin;OBRADOVIC;SRB;1901
181;BS;1102;4;Oskars;BAJARS;LAT;1316
182;BS;1102;4;Mykolas;GRIGAS;LTU;1280
183;BS;1082;3;Axel;GRAS;FIN;5477
184;BS;1082;4;Jeffrey;LAKSHMIKANTHAN;SWE;5913
185;BS;1082;4;Ioannis;PAPADOPOULOS;CYP;1898
186;BS;1082;4;Jaagrav;RAJ;NED;29676
187;BS;1082;3;Onur;ACU;TUR;5947
188;BS;1066;8;Tomáš;PHU;SUI;1891
189;BS;1066;3;Josef;ZHILIN FANG;SWE;5877
190;BS;1066;3;Helge;VAIHINGER;SWE;42152
191;BS;1066;3;Emil;HARTUNG;DEN;30652
192;BS;1066;5;Hubert;CEGLINSKI;ENG;1303
193;BS;1066;8;Zalan;JUHASZ;HUN;38518
194;BS;1066;9;Aaron;WINTER;GER;2173
195;BS;1066;6;Miroslav;TEPLÝ;CZE;30269
196;BS;1066;4;Kylian;CANARD;FRA;2156
197;BS;1066;9;Louka;CESARI;SUI;2154
198;BS;1066;12;Lars Luca;FRITZSCHE;SUI;2139
199;BS;1066;8;KristiáN;BÍBA;CZE;30109
200;BS;1066;4;Bugra Kaan;CALISIR;TUR;15022
201;BS;1066;4;Ori;BLUMENREICH;ISR;5530
202;BS;1066;5;Gabor Zoltan;TOTH;HUN;1850
203;BS;1066;3;Leo;QUAEYBEUR;FRA;2091
204;BS;1066;8;Daniele;BARC;SVK;1311
205;BS;1066;5;Akhil Luke;GIBI;ENG;2136
206;BS;1066;6;Marek;NECHVÁTAL;CZE;1904
207;BS;1066;3;Emilien;MATHIEU;FRA;2107
208;BS;1066;3;Shani;MIZRAHI;ISR;1236
209;BS;1066;6;Kondratii;ZHELIZNIAK;UKR;1166
210;BS;1066;5;Felix;SANZ;ESP;863
211;BS;1066;6;Kan;EMURLAH;BUL;38460
212;BS;1066;9;Rik;DE BACKER;BEL;5935
213;BS;1066;5;Olaf;KSIAZKIEWICZ;POL;38670
214;BS;1066;9;Lukas;SCHUSTER;AUT;5806
215;BS;1066;6;Elias;TOBLER;SUI;5397
216;BS;1066;3;Aras Ikra;YALCIN;TUR;5879
217;BS;1066;5;Daniel;NACHTMAN;CZE;2209
218;BS;1066;8;Zhen;HUANG;GER;2231
219;BS;1066;9;Shourya;KODAPALA;LUX;1924
220;BS;1066;4;Ayaan;SINGH;GER;42476
221;BS;1066;7;Aditya;GAHIRWAL;GER;2241
222;BS;1062;2;Muaaz;FARID;SWE;5676
223;BS;1036;4;Charlie;JUNNOR;SCO;1929
224;BS;1036;5;Guillermo;VALDES;ESP;2177
225;BS;1036;5;Oliver;LIANG;HUN;1918
226;BS;1036;4;William;HAURHOLM;DEN;30567
227;BS;1030;3;Martin;ANQUETIL;FRA;39614
228;BS;1024;2;Maciej;SKOWRONSKI;ENG;42652
229;BS;1000;3;Simonas;DELTUVA;LTU;5550
230;BS;1000;1;Edison Ming Yi;LI;CAN;42170
231;BS;1000;4;Viktor;WALLIN ÖDÉN;SWE;38707
232;BS;1000;3;Sebastian;VILLADSEN;DEN;38778
233;BS;1000;3;Georgi;ILIEV;BUL;38454
234;BS;1000;3;Bartosz;KOWALSKI;POL;1261
235;BS;1000;3;Nohan;RAMDENEE;FRA;2088
236;BS;1000;1;Clément;MASSIAS;FRA;2013
237;BS;1000;5;Gentian;SCHOLL;SUI;38105
238;BS;1000;4;Oliver;BLITTRUP;DEN;38792
239;BS;1000;5;Mark;KRAVCHYSHYN;ESP;905
240;BS;1000;3;Peter;JASZBERENYI;HUN;1930
241;BS;1000;3;Jayden Chengxuan;ZHANG;NED;1555
242;BS;1000;7;Tin;RADOVANOVIĆ;CRO;5575
243;BS;1000;6;Thomas;REIBER;GER;30659
244;BS;984;3;Fikri Berk;AKDAG;TUR;5875
245;BS;984;7;Ivan;TUTIC;GER;38759
246;BS;984;6;Mark Zsolt;CZIRA;HUN;1959
247;BS;984;10;Daniel;ČADA;CZE;1962
248;BS;984;5;Ales;KOSCAK;SVK;2697
249;BS;984;7;David;PIRNOVAR;SLO;38517
250;BS;984;6;Berzsian;JANKY;HUN;1931
251;BS;984;5;Shuo;WANG;HUN;1839
252;BS;984;5;Andrei Victor;VIZI;ROU;1843
253;BS;984;3;Ruzgar;OGUZ;TUR;5852
254;BS;984;3;Arnas;JARMALAUSKAS;LTU;1275
255;BS;984;9;Bastian;KLINKA;AUT;5810
256;BS;984;5;Adrian;TELFSER;ITA;2181
257;BS;984;6;Noe Xuan Phuc;DINH;FRA;39612
258;BS;984;11;Karl Maximilian;WEYAND;GER;38784
259;BS;984;4;Aron;FANCZI;HUN;1952
260;BS;968;2;Javier Alonso;CABAHUG;SWE;5680
261;BS;968;2;Yusuf Mohammad;BILAL;ENG;42320
262;BS;934;4;Luis;GRUNDMANN;GER;30737
263;BS;934;3;Gabriel;QUITÉRIO;POR;1879
264;BS;934;5;Joey;KOBYLANSKI;GER;2225
265;BS;934;3;Adrian;LAZO;ESP;899
266;BS;934;5;VladimíR;SVOBODA;CZE;30179
267;BS;934;3;Jeremy Mark;GATT;MLT;5520
268;BS;934;3;Ivan;SEICO;ROU;30911
269;BS;934;3;Gaspard;PLUMEREAU;FRA;12948
270;BS;934;3;Xoan;BALBOA;ESP;39602
271;BS;934;3;Felix Jianheng;LUO;GER;2110
272;BS;934;4;Filip;ZEGLEN;POL;1168
273;BS;934;5;Leo Hanxiang;LUO;GER;30708
274;BS;922;2;Eren;YAMAN;TUR;5878
275;BS;922;2;Albert;LEIS;EST;40500
276;BS;922;2;Regnars;BAJARS;LAT;1315
277;BS;922;2;Maxence;CHARLOT;FRA;39603
278;BS;918;3;Yehor;CHURKIN;UKR;38658
279;BS;918;3;Mykolas;JAKSTYS;LTU;42614
280;BS;918;3;Felix;KYZLÍK;CZE;30226
281;BS;918;5;Soheyl;SAFARI ARAGHI;GER;38793
282;BS;918;4;Severin;GFRERER;AUT;39561
283;BS;918;4;Karol;DUBIEL;POL;1296
284;BS;918;3;Eloi;LE SECQ;FRA;39615
285;BS;918;4;Senna;VAN DEN BEUKEL;NED;2073
286;BS;918;3;Tom;DA SILVA;FRA;2149
287;BS;918;8;Aryan;AZHAN;SUI;1974
288;BS;918;3;Max;LEUNG;ENG;42175
289;BS;918;3;Alexander;JUHL KNUDSEN;DEN;39803
290;BS;918;3;Ianis Aaron;ELBASE;ESP;41057
291;BS;918;4;Herkus;PECIUKONIS;LTU;1223
292;BS;918;4;Dovydas;DOVYDAS;LTU;1226
293;BS;918;3;Luke;BETTS;WAL;43011
294;BS;918;3;Vakaris;PUIDOKAS;LTU;42639
295;BS;918;3;Joonas;VAPPER;EST;39940
296;BS;918;6;Tjark;DALHEIMER;GER;1958
297;BS;918;8;Matti;KRAMER;SUI;38783
298;BS;918;7;Kenan;TURSIC;LUX;2075
299;BS;918;5;Leonard;FUCHS;GER;30276
300;BS;918;4;Jason;GÖKER;GER;7126
301;BS;918;3;Lucas Winther;NIELSEN;DEN;38780
302;BS;918;4;Bennet;DITTRICH;GER;30313
303;BS;918;5;Muhammad Sytsh;ABDULQUDDUS;GER;38810
304;BS;918;3;Nathan;LEFAUX;FRA;39611
305;BS;918;4;Levente;SZORFI;HUN;1853
306;BS;918;4;Nolan;HUYNH-CHANH;FRA;2125
307;BS;918;4;Nathan;PACAL;SVK;40224
308;BS;918;3;Sacha;LIENARD;FRA;38066
309;BS;918;3;Pim;VAN VEGHEL;NED;1586
310;BS;918;3;Thomas;STRICH;FRA;40501
311;BS;918;3;Johan;KŇAZOVČÍK;CZE;7208
312;BS;918;5;Filip;BENOVIC;SVK;1973
313;BS;918;4;Michal;JAWORSKI;POL;5918
314;BS;918;3;Gabriel;COSSAC;FRA;39610
315;BS;902;2;Eyup;KOCAK;TUR;7042
316;BS;882;3;Flint;CROES;BEL;2150
317;BS;882;3;Alexandros;DALLAS;GRE;42473
318;BS;852;5;Fabian;KARMANN;GER;5419
319;BS;852;4;Anton;GURSCHLER;ITA;2236
320;BS;852;3;Nathan;LUCEA DAVID;SUI;2220
321;BS;852;9;Maximilian;ZEIMES;LUX;1837
322;BS;852;5;David Antonio;KOZINKA;SVK;1260
323;BS;852;3;Itamar;EDERY;ISR;39884
324;BS;852;3;Krum;NIKODIMOV;BUL;1902
325;BS;852;9;Mihael;ŠKOF VRABEC;CRO;1866
326;BS;852;4;Tadas;RIMKUS;LTU;5892
327;BS;852;4;Bor;ZALETEL;SLO;5564
328;BS;852;3;Etienne Shi Hong;FAN;ENG;39735
329;BS;852;3;Jan;CHALOUPKA;CZE;30115
330;BS;852;4;Arne;RETHMEIER;GER;40602
331;BS;852;3;Suchir Krishna;ADDAGONDLA;ENG;42405
332;BS;852;3;Erik;STEEN;SWE;39800
333;BS;852;7;Ihor;BELINSKYI;UKR;1309
334;BS;852;3;ŠImon;BEZDĚK;CZE;1971
335;BS;852;3;Denys;MALNIEV;UKR;1244
336;BS;852;3;Oskar;LAANES;EST;1254
337;BS;852;5;Alexander;FALK;SWE;38708
338;BS;852;5;Raphael;ARGAST;GER;40604
339;BS;852;3;Malte;SIEMER;GER;41389
340;BS;852;3;Tao;LINON;FRA;39619
341;BS;852;3;Jaroslavs;ALEKSEJEVS;LAT;1317
342;BS;852;3;Renars;KARKLINS;LAT;1267
343;BS;852;3;Ketan;AMARA;UAE;39852
344;BS;852;3;Daniel;ALVAREZ;ESP;39607
345;BS;852;3;Eldad;COHEN;ISR;5526
346;BS;852;3;Vasilije;JANKOVIC;SRB;7622
347;BS;852;7;Jakub;BOZIK;SVK;5841
348;BS;852;5;Noe;RÖSSLER;GER;38779
349;BS;852;6;Arne;KURNATOWSKI;GER;2333
350;BS;852;3;Sebastian;TATARU;ITA;5569
351;BS;852;6;Tim;GARUS;GER;5427
352;BS;852;4;Nils;BARION;GER;2166
353;BS;852;5;Felix;SARGIN;GER;1630
354;BS;852;4;Istilyan;BORISOV;BUL;38462
355;BS;852;3;Dian;KIREV;BUL;5511
356;BS;852;4;Alexander;LÜTHI;SUI;38782
357;BS;852;4;Konstantin;TONNER;GER;30466
358;BS;852;4;Jakub;CHRZASZCZ;POL;5937
359;BS;852;5;Cosmin Alexandru;DRAGOS;ROU;1955
360;BS;852;3;Luan;WOLBER;GER;2172
361;BS;852;5;Nico;BELSKY;AUT;39563
362;BS;840;2;Efe Kagan;ASIK;TUR;5943
363;BS;840;2;Pontus;SKEPPSTEDT;SWE;43072
364;BS;820;2;Emil;FEJSØ;DEN;43424
365;BS;800;1;Anton;MARCHAND KEMMO;SWE;42982
366;BS;800;1;Michael Zubin;SUN;CAN;42404
367;BS;800;1;Aarush;PAWASKAR;IND;2099
