rang;disziplin;punkte;anzahl_turniere;vorname;name;nation;bec_player_id
1;GD;3000;9;Sofia;KERPLOVÁ;CZE;1926
2;GD;3000;10;Michaela;FEDORKOVÁ;CZE;1951
3;GD;3000;5;Yagmur Tuana;YEMISEN;TUR;7018
4;GD;3000;5;Simone Aoki;PIHL;DEN;5648
5;GD;3000;5;Irmak Rana;YEMISEN;TUR;7019
6;GD;2800;9;Naila Faiz;ANSARI;UAE;38062
7;GD;2800;5;Clara;MENEGAZZI BRIQUET;FRA;2105
8;GD;2800;11;Elena;POPIVANOVA;BUL;1887
9;GD;2640;3;Ines;PONCELA;ESP;878
10;GD;2640;3;Sara;DEL CASTILLO;ESP;940
11;GD;2640;3;Maria;POPOV;BUL;38722
12;GD;2640;3;Marie Faust;KJÆR;DEN;5914
13;GD;2640;5;Mutiara;MANDALA;ENG;30245
14;GD;2600;9;Ela;BIELESCHOVA;SVK;1307
15;GD;2600;10;Viktoriya;POPOVA;BUL;1886
16;GD;2600;11;Julietta;DÜBENDORFER;SUI;2142
17;GD;2600;6;Charlotta;HALOVA;SVK;1939
18;GD;2600;3;Juna;BARTSCH;GER;1818
19;GD;2600;8;Ella;ELIASKOVA;SVK;1292
20;GD;2600;3;Marie;FEIN;GER;1765
21;GD;2512;5;Emma;POGNANTE;FRA;2094
22;GD;2512;7;Apolline;ARDOIN;FRA;2167
23;GD;2440;4;Breana;AREM;GER;5686
24;GD;2440;5;Varvara;POPEREZHAI;UKR;1218
25;GD;2440;6;Sofia;GARCIA;ESP;927
26;GD;2440;4;Maria;GARCÍA;ESP;925
27;GD;2440;5;Ahata;RYSHTOVSKA;UKR;1207
28;GD;2440;3;Asya Tuana;ACAR;TUR;38466
29;GD;2440;7;Gaelle;DE CUYPER;BEL;2147
30;GD;2440;7;Jeanne;RAFFIN;FRA;2090
31;GD;2400;8;Kiara;VAR;SUI;40003
32;GD;2400;8;Maja;PASZEK;POL;1227
33;GD;2312;3;Melia;BEULE;FRA;2046
