rang;disziplin;punkte;anzahl_turniere;vorname;name;nation;bec_player_id
1;GS;3000;8;Mutiara;MANDALA;ENG;30245
2;GS;3000;8;Lea;DAUPHINAIS;BEL;1298
3;GS;3000;5;Varvara;POPEREZHAI;UKR;1218
4;GS;2800;9;Laura;FODOROVA;SVK;1945
5;GS;2640;8;Eliza;LIANG;HUN;1919
6;GS;2640;7;Clara;MENEGAZZI BRIQUET;FRA;2105
7;GS;2600;4;Wiktoria;KALETKA;POL;739
8;GS;2512;3;Martha;NG;ENG;2103
9;GS;2512;11;Charlotte;WENDT;GER;2068
10;GS;2440;5;Maria;POPOV;BUL;38722
11;GS;2440;13;Julietta;DÜBENDORFER;SUI;2142
12;GS;2312;8;Auriane;VASILEVSKI;BEL;1179
13;GS;2240;12;Maja;PRANIĆ;CRO;1883
14;GS;2210;10;Lisa;MOOSBRUGGER;AUT;2694
15;GS;2152;4;Maria;GARCÍA;ESP;925
16;GS;2152;11;Elena;POPIVANOVA;BUL;1887
17;GS;2152;10;Liliana;SARLAYOVA;SVK;1869
18;GS;2152;6;Isabella;DENG;GER;30377
19;GS;2128;3;Carmella Krislin;KRUUS;EST;5466
20;GS;2112;4;Elifnur;YILDIRIM;TUR;7017
21;GS;2112;7;Gulsu;VURAL;TUR;7021
22;GS;2080;3;Maribel;SOUSA;POR;1862
23;GS;2080;7;Nimet;ERGUN;TUR;7052
24;GS;2080;3;Elisa;HESS;FRA;2025
25;GS;2050;4;Veronika;TEPLIAKOVA;POR;1852
26;GS;2050;9;Zuzanna;TURSKA;POL;527
27;GS;2010;4;Asya Tuana;ACAR;TUR;38466
28;GS;2000;2;Amiya;SACHDEVA;UAE;41852
29;GS;1952;7;Hanna;SZULSKA;POL;1187
30;GS;1920;5;Irmak Rana;YEMISEN;TUR;7019
31;GS;1920;4;Alexia;NEDELCU;GER;1678
32;GS;1920;7;Lucie;DESLANDES;FRA;2143
33;GS;1920;9;Gaelle;DE CUYPER;BEL;2147
34;GS;1850;4;Alyssa;VOGT;FRA;2071
35;GS;1850;3;Sara;DEL CASTILLO;ESP;940
36;GS;1850;8;Ella;ELIASKOVA;SVK;1292
37;GS;1840;4;Beril;OZUBIR;TUR;7147
38;GS;1824;6;Maria Del Pilar;CARMONA;ESP;2260
39;GS;1824;12;Daria;DEMCHYKHINA;LUX;1957
40;GS;1800;2;Neela;LENGUE TE;FRA;2114
41;GS;1800;2;Ishasriya;MEKALA;WAL;1240
42;GS;1792;5;Simone Aoki;PIHL;DEN;5648
43;GS;1792;6;SOFIIA;NIKOLAIEVA;UKR;1233
44;GS;1792;5;Vedanshi;JAIN;ENG;2700
45;GS;1792;8;Maia;FREIRE;ESP;7007
