rang;disziplin;punkte;anzahl_turniere;vorname;name;nation;bec_player_id
1;XD;3000;9;Petr;BŘÍZA;CZE;1305
2;XD;3000;6;ŠTěPáNka;NÝDRLOVÁ;CZE;2205
3;XD;3000;6;Aleksa;RADOVANOVIC;SRB;1878
4;XD;3000;6;Teodora;LATAS;SRB;1920
5;XD;2800;5;Uma;IVANAUSKAITE;LTU;1276
6;XD;2800;10;Tomáš;KLAPAL;CZE;1264
7;XD;2800;5;Peter Simoni;FAURHOLT;DEN;5927
8;XD;2800;4;Marie Faust;KJÆR;DEN;5914
9;XD;2800;3;Jasper;WONG;ENG;2067
10;XD;2800;5;Dominik;TANKEVIC;LTU;1184
11;XD;2800;11;Georgi;RUPTSOV;BUL;1871
12;XD;2800;11;Elena;POPIVANOVA;BUL;1887
13;XD;2640;6;Mette;KOOL;NED;2022
14;XD;2640;4;Jason;DE GRAAF;NED;5934
15;XD;2640;5;Anna;KÁBRTOVÁ;CZE;30145
16;XD;2640;5;Cedric;PASCHER;GER;2202
17;XD;2640;3;Wiktoria;KALETKA;POL;739
18;XD;2512;4;Monique;SCHÜTT;GER;5400
19;XD;2440;5;Axel;BOESEN;DEN;2162
20;XD;2440;5;Simone Aoki;PIHL;DEN;5648
21;XD;2440;3;Lubin;LE FLOC'H;FRA;2020
22;XD;2440;4;Santiago;ARAUJO;SUI;2168
23;XD;2440;11;Ella;GERMANN;SUI;2137
24;XD;2440;4;Teodora;PAVLOVA;BUL;1895
25;XD;2312;3;Shraddha;GOPALAKRISHNAN;ENG;2134
26;XD;2312;11;Simay;MEHMEDOVA;BUL;2106
27;XD;2280;7;Nuria;SERRA;ESP;2185
28;XD;2280;5;Jakub;DULEMBA;POL;781
29;XD;2280;3;Laira;RÖHL;GER;1211
30;XD;2280;3;Milan;ZEISIG;GER;1167
31;XD;2280;14;Marko;ŠURINA;CRO;1857
32;XD;2240;6;Jeanne;RAFFIN;FRA;2090
33;XD;2240;7;Kacper;GRABARZ;POL;1281
34;XD;2240;6;Nathanael;BARRIER;FRA;2164
35;XD;2210;3;Melia;BEULE;FRA;2046
36;XD;2210;5;Keenan;BRIERE;FRA;2263
37;XD;2210;3;Malte;JØRGENSEN;DEN;43407
38;XD;2152;8;Gaelle;DE CUYPER;BEL;2147
39;XD;2152;9;Magno;SALAS;ESP;1870
40;XD;2152;12;Maja;PRANIĆ;CRO;1883
41;XD;2112;7;Hugo;GALLEGO;ESP;39609
42;XD;2112;8;Anna;PARGAČOVÁ;CZE;1230
43;XD;2112;5;Jannes;ERNST;GER;1290
44;XD;2112;7;Sara;ARENAS;ESP;2269
45;XD;2112;10;Helena;HUANG;GER;2232
46;XD;2050;4;Alexander;FRANZKE;GER;38109
47;XD;2050;6;Seppe;DAEMERS;BEL;2148
48;XD;2050;3;Anton;BILCHEV;BUL;38458
49;XD;2050;6;Hanna;SZULSKA;POL;1187
50;XD;2050;3;Josef;ZHILIN FANG;SWE;5877
51;XD;2050;3;Tejas;SINGH;ENG;5770
52;XD;2050;3;Aiwei;SUN;SWE;5634
53;XD;2024;6;Maia;FREIRE;ESP;7007
54;XD;2024;8;Michaela;FEDORKOVÁ;CZE;1951
55;XD;1952;3;Carmella Krislin;KRUUS;EST;5466
56;XD;1952;5;Frederik;BLITTRUP;DEN;38794
57;XD;1952;9;Matyáš;PUFFR;CZE;1881
58;XD;1952;5;Kondratii;ZHELIZNIAK;UKR;1166
59;XD;1952;5;Gabriella;ILLUM;DEN;38807
60;XD;1952;9;Veronika;BURDOVÁ;CZE;1964
61;XD;1952;4;Varvara;POPEREZHAI;UKR;1218
62;XD;1850;5;Nagasharan Podala;VENGATESH;NED;5883
63;XD;1850;7;Maxim;IACOB;ROU;1934
64;XD;1850;5;Nikhil Deepak;PULIKKOTTIL;ENG;2692
65;XD;1850;6;Amalia Ioana;VLAD;ROU;1842
66;XD;1850;8;Jael;STUCKI;SUI;7173
67;XD;1850;5;Mutiara;MANDALA;ENG;30245
68;XD;1850;7;Joline;BRUGGEMAN;NED;2159
69;XD;1824;3;Hon Chak Johnson;ZHANG;FRA;2066
70;XD;1824;7;Louka;CESARI;SUI;2154
71;XD;1824;4;Ailin;ZHENG;GER;2681
72;XD;1824;8;Hanna;WYLEGA;POL;38655
73;XD;1824;5;Mikkel;JOHANNSEN;DEN;38790
74;XD;1820;4;Ayten;DURMUS;TUR;5929
75;XD;1820;5;Ludvig;MARMSTEN;SWE;2216
76;XD;1820;5;Krittika;ROY;GER;30533
77;XD;1820;3;Filip;ZEGLEN;POL;1168
78;XD;1792;5;Sara;LLOPIS;ESP;897
79;XD;1792;5;Felix;SANZ;ESP;863
80;XD;1792;5;Apolline;ARDOIN;FRA;2167
81;XD;1792;7;Theo;EPP;FRA;2141
82;XD;1792;6;Olaf;KSIAZKIEWICZ;POL;38670
83;XD;1768;3;Julika;BLOCK;GER;1812
84;XD;1768;3;Felix Jianheng;LUO;GER;2110
85;XD;1738;4;Bugra Kaan;CALISIR;TUR;15022
86;XD;1738;5;Zisis;PEGIOS;GRE;5500
87;XD;1738;3;Jemima;ELLIS;ENG;1291
88;XD;1738;5;Melina - Maria;ANASTASIOU;GRE;5536
89;XD;1722;4;Simona;REPSYTE;LTU;38718
90;XD;1722;10;Stiliyan;NANOVSKI;BUL;1905
91;XD;1722;4;Clara Amalie Hegelund;BRUUN;DEN;38797
92;XD;1722;3;Vakaris;PUIDOKAS;LTU;42639
93;XD;1722;10;Lovro;MATOVINA;CRO;1910
94;XD;1722;10;Lea;BURAZOR;CRO;1965
95;XD;1722;6;Lena;MASLANKA;POL;1243
96;XD;1722;6;Aditya;GAHIRWAL;GER;2241
97;XD;1690;7;Ada;KECECI;TUR;5859
98;XD;1690;6;Zuzanna;ZEMLA;POL;493
99;XD;1690;7;Berkay;CEYHAN;TUR;5872
100;XD;1690;4;Lilly;WOOD;ENG;1174
101;XD;1690;5;Azra;TEKIN;TUR;7027
102;XD;1690;5;Mevlut Berat;BAS;TUR;7075
103;XD;1664;3;Ioli;PAPAKYRIACOU;CYP;5898
104;XD;1664;7;Kiara;VAR;SUI;40003
