disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;avg_elo;name;jahr;kw;bec17type;datum;rang
BD;9;64;16;1321.5;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;1
BD;10;64;16;1276.6;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;2
BD;8;60;16;1270.4;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;3
BD;11;64;16;1267.2;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;4
BD;32;54;16;1259.7;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;5
BD;20;58;16;1259.0;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;6
BD;5;34;16;1256.3;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;7
BD;30;56;16;1255.1;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;8
BD;12;42;16;1253.9;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;9
BD;18;64;16;1253.3;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;10
BD;14;50;16;1250.8;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;11
BD;19;84;16;1250.6;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;12
BD;7;64;16;1246.3;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;13
BD;42;42;16;1244.6;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;14
BD;22;64;16;1242.3;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;15
BD;1;66;16;1237.7;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;16
BD;25;64;16;1235.5;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;17
BD;43;30;16;1229.8;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;18
BD;47;22;16;1229.3;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;19
BD;24;64;16;1229.2;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;20
BD;41;56;16;1228.5;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;21
BD;15;56;16;1226.2;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;22
BD;38;64;16;1226.1;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;23
BD;2;58;16;1224.7;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;24
BD;39;60;16;1223.6;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;25
BD;36;64;16;1222.5;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;26
