turnier_id;avg_elo_gesamt;teilnehmer_gesamt;n_disziplinen;name;jahr;kw;bec17type;rang
16;1257.6;150;3;European Youth Olympic Festival 2025;2025;30;U17 IS;1
9;1244.3;352;5;Austrian U17 International 2025;2025;40;U17 GP;2
28;1235.6;308;5;YONEX France U17 Open 2025;2025;7;U17 IC;3
18;1230.9;350;5;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;4
22;1230.6;352;5;Austrian U17 Open 2025;2025;18;U17 GP;5
25;1230.5;352;5;OLIVER Czech U17 International 2025;2025;14;U17 IC;6
8;1222.5;339;5;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;7
21;1220.4;240;5;Bulgaria U17 International 2025;2025;19;U17 IS;8
42;1220.2;243;5;Danish Junior Cup U17 2026;2026;34;U17 IS;9
24;1219.7;348;5;VICTOR JOT U17 2025;2025;16;U17 GP;10
20;1219.2;303;5;YONEX Polish Masters U17 2025;2025;22;U17 IC;11
29;1218.6;348;5;Spanish U17 Open 2025;2025;5;U17 IC;12
5;1217.8;164;5;Swedish Youth Games 2025;2025;46;U17 IC;13
26;1217.6;365;5;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;14
14;1216.5;280;5;Danish Junior Cup U17 2025;2025;34;U17 IS;15
10;1214.2;352;5;Slovak Youth U17 International 2025;2025;39;U17 IS;16
23;1214.0;344;5;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;17
11;1213.4;346;5;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;18
19;1213.1;427;5;YONEX German U17 Open 2025;2025;24;U17 IC;19
47;1212.7;91;5;Bulgaria U17 International 2026;2026;15;U17 IS;20
15;1210.1;273;5;VICTOR French U17 International 2025;2025;33;U17 IS;21
27;1210.1;401;5;1. Living Sport Hungarian International 2025;2025;10;U17 IS;21
12;1209.2;205;5;RSL Sigulda U17 Open 2025;2025;37;U17 IS;22
39;1208.4;264;5;YONEX France U17 Open 2026;2026;8;U17 IC;23
2;1208.1;294;5;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;24
7;1207.3;346;5;Luxembourg U17 2025;2025;43;U17 IS;25
13;1205.7;300;5;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;26
1;1205.2;272;5;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;27
32;1204.6;297;5;Austrian U17 Open 2026;2026;18;U17 GP;28
30;1203.9;293;5;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;29
43;1201.7;148;5;FZ FORZA French U17 International 2026;2026;33;U17 IS;30
44;1201.1;184;5;Istanbul U17 Open 2026;2026;28;U17 IS;31
35;1200.8;129;5;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;32
6;1198.6;207;5;V U17 Portugal Open 2025;2025;44;U17 IS;33
4;1198.5;128;5;Spanish International U17 2025;2025;46;U17 IS;34
34;1198.2;296;5;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;35
40;1197.7;286;5;Spanish Open U17 2026;2026;5;U17 IC;36
46;1195.2;168;5;Swedish U17 International 2026;2026;15;U17 IS;37
3;1193.9;165;5;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;38
38;1193.7;325;5;OLIVER Czech U17 International 2026;2026;13;U17 IC;39
45;1193.1;91;5;RSL Lithuanian U17 International 2026;2026;21;U17 IS;40
36;1193.0;336;5;YONEX German U17 Open 2026;2026;23;U17 IC;41
48;1192.5;353;5;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;42
31;1191.5;318;5;Adria U17 International 2026;2026;20;U17 GP;43
33;1188.3;272;5;VICTOR JOT U17 2026;2026;14;U17 GP;44
41;1187.9;272;5;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;45
37;1185.9;304;5;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;46
