disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;teilnehmer_offiziell_gerankt;avg_elo;name;jahr;kw;bec17type;datum;rang
BD;32;54;16;16;473.8;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;1
BD;13;64;16;16;435.1;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;2
BD;38;64;16;16;433.5;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;3
BD;9;64;16;16;418.5;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;4
BD;31;64;16;16;416.6;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;5
BD;11;64;16;16;373.4;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;6
BD;37;56;16;16;362.5;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;7
BD;25;64;16;16;361.3;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;8
BD;30;56;16;16;353.2;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;9
BD;19;84;16;16;331.2;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;10
BD;34;48;16;16;330.0;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;11
BD;22;64;16;16;329.7;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;12
BD;41;56;16;16;326.1;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;13
BD;48;70;16;16;309.6;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;14
BD;33;64;16;16;308.1;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;15
BD;20;58;16;16;301.6;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;16
BD;39;60;16;16;298.1;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;17
BD;10;64;16;16;291.1;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;18
BD;23;64;16;16;284.4;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;19
BD;2;58;16;16;282.5;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;20
BD;27;82;16;16;274.8;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;21
BD;36;64;16;16;273.8;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;22
BD;7;64;16;16;272.8;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;23
BD;18;64;16;16;257.5;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;24
BD;45;26;16;16;246.2;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;25
BD;15;56;16;16;237.9;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;26
BD;26;64;16;16;224.4;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;27
BD;46;40;16;16;223.1;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;28
BD;43;30;16;16;216.6;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;29
BD;1;66;16;16;201.6;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;30
BD;40;60;16;16;189.1;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;31
BD;29;64;16;16;183.4;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;32
BD;24;64;16;16;180.3;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;33
BD;28;56;16;16;166.9;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;34
BD;35;22;16;16;162.8;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;35
BD;4;26;16;16;162.2;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;36
BD;8;60;16;16;160.3;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;37
BD;21;46;16;16;156.9;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;38
BD;5;36;16;16;155.3;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;39
BD;12;42;16;11;134.1;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;40
BD;47;22;16;16;121.2;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;41
