turnier_id;avg_elo_gesamt;teilnehmer_gesamt;n_disziplinen;name;jahr;kw;bec17type;datum;rang
32;355.8;297;5;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;1
38;344.3;327;5;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;2
9;324.1;352;5;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;3
31;318.4;318;5;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;4
48;317.3;355;5;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;5
30;296.5;293;5;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;6
37;285.2;305;5;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;7
13;282.0;304;5;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;8
34;280.2;296;5;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;9
25;270.6;352;5;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;10
39;262.2;264;5;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;11
11;260.3;346;5;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;12
10;255.0;352;5;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;13
22;249.2;352;5;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;14
33;247.6;272;5;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;15
36;245.7;337;5;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;16
7;242.2;346;5;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;17
23;236.8;344;5;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;18
27;231.1;401;5;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;19
41;230.4;272;5;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;20
19;228.9;427;5;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;21
20;199.7;303;5;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;22
40;199.1;286;5;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;23
2;192.6;294;5;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;24
18;179.9;350;5;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;25
26;172.9;365;5;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;26
45;170.2;91;5;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;27
43;170.1;153;5;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;28
24;169.8;348;5;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;29
46;162.0;169;5;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;30
28;160.5;308;5;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;31
29;159.9;348;5;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;32
35;158.8;130;5;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;33
15;156.1;275;5;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;34
8;153.2;341;5;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;35
42;147.2;248;5;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;36
1;141.2;272;5;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;37
4;129.0;130;5;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;38
12;119.8;205;5;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;39
21;116.9;240;5;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;40
47;99.7;95;5;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;41
5;93.5;169;5;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;42
14;74.9;280;5;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;43
44;73.0;184;5;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;44
6;72.4;207;5;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;45
3;43.2;165;5;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;46
